,id,neg,neu,pos,compound,Score,tweet
0,0,0.0,0.912,0.088,0.2755,2,  mayasolovely As a woman you shouldn't complain about cleaning up your house. &amp as a man you should always take the trash out...
1,1,0.212,0.788,0.0,-0.5423,1,  mleew17 boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place
2,2,0.556,0.444,0.0,-0.946,1,  UrKindOfBrand Dawg  80sbaby4life You ever fuck a bitch and she start to cry? You be confused as shit
3,3,0.0,0.706,0.294,0.3612,1,  C_G_Anderson viva_based she look like a tranny
4,4,0.237,0.673,0.09,-0.6808,1,  ShenikaRoberts The shit you hear about me might be true or it might be faker than the bitch who told it to ya &57361
5,5,0.106,0.784,0.109,0.0182,1,"""T_Madison_x The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes &128514&128514&128514"""
6,6,0.41,0.59,0.0,-0.9158,1,"""__BrighterDays I can not just sit up and HATE on another bitch .. I got too much shit going on"""
7,7,0.382,0.618,0.0,-0.7783,1,&8220selfiequeenbri cause I'm tired of you big bitches coming for us skinny girls&8221
8,8,0.0,0.796,0.204,0.4717,1,""" &amp you might not get ya bitch back &amp thats that """
9,9,0.558,0.442,0.0,-0.743,1,""" rhythmixx_ hobbies include fighting Mariam""

bitch"
10,10,0.25,0.544,0.206,-0.2789,1,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh"
11,11,0.352,0.648,0.0,-0.5859,1,""" Murda Gang bitch its Gang Land """
12,12,0.207,0.793,0.0,-0.5267,1,""" So hoes that smoke are losers ? "" yea ... go on IG"
13,13,0.413,0.447,0.14,-0.7096,1,""" bad bitches is the only thing that i like """
14,14,0.388,0.612,0.0,-0.5859,1,""" bitch get up off me """
15,15,0.474,0.526,0.0,-0.6597,1,""" bitch nigga miss me with it """
16,16,0.469,0.37,0.16,-0.5423,1,""" bitch plz whatever """
17,17,0.292,0.385,0.323,0.1027,1,""" bitch who do you love """
18,18,0.5,0.5,0.0,-0.7184,1,""" bitches get cut off everyday B """
19,19,0.549,0.451,0.0,-0.8074,1,""" black bottle &amp a bad bitch """
20,20,0.524,0.476,0.0,-0.765,1,""" broke bitch cant tell me nothing """
21,21,0.472,0.325,0.203,-0.5106,1,""" cancel that bitch like Nino """
22,22,0.0,1.0,0.0,0.0,1,""" cant you see these hoes wont change """
23,23,0.303,0.428,0.269,-0.2547,1,""" fuck no that bitch dont even suck dick "" &128514&128514&128514 the Kermit videos bout to fuck IG up"
24,24,0.241,0.759,0.0,-0.5859,1,""" got ya bitch tip toeing on my hardwood floors "" &128514 http//t.co/cOU2WQ5L4q"
25,25,0.0,0.547,0.453,0.7003,1,""" her pussy lips like Heaven doors "" &128524"
26,26,0.0,1.0,0.0,0.0,1,""" hoe what its hitting for """
27,27,0.0,1.0,0.0,0.0,1,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &128524"
28,28,0.448,0.552,0.0,-0.8074,1,""" i need a trippy bitch who fuck on Hennessy """
29,29,0.236,0.683,0.081,-0.5423,1,""" i spend my money how i want bitch its my business """
30,30,0.432,0.568,0.0,-0.8225,1,""" i txt my old bitch my new bitch pussy wetter """
31,31,0.219,0.654,0.127,-0.5023,1,""" i'd say im back to the old me but my old bitches would get excited "" &128524"
32,32,0.0,0.762,0.238,0.5773,1,""" if you aint bout that Murder Game pussy nigga shut up """
33,33,0.182,0.818,0.0,-0.25,1,""" if you're toes ain't done you pussy stinks """
34,34,0.333,0.667,0.0,-0.875,1,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """
35,35,0.432,0.568,0.0,-0.5859,1,""" is that ya bitch """
